Iteration;Objective;Time (s) 
19;-17466.43;3120.4
20;-17466.43;3227.3
21;-17098.09;3321.2
22;-16538.5;3436.2
23;-16538.5;3527.7
24;-16538.5;3618.3
25;-16353.64;3709.0
26;-16353.64;3800.4
27;-16353.64;3891.2
28;-16353.64;3983.6
29;-16353.64;4080.5
30;-16353.64;4173.5
Iteration;Objective;Time (s) 
1;-36917.15;213.8
2;-31671.06;315.4
Iteration;Objective;Time (s) 
1;-70567.74;238.9
Iteration;Objective;Time (s) 
1;-75580.91;207.4
Iteration;Objective;Time (s) 
1;-93284.53;244.3
2;-52310.4;356.1
Iteration;Objective;Time (s) 
1;-51597.94;192.3
2;-51597.94;289.6
Iteration;Objective;Time (s) 
1;-41940.83;225.1
2;-41940.83;333.3
Iteration;Objective;Time (s) 
1;-69674.88;218.4
2;-56019.71;323.1
Iteration;Objective;Time (s) 
1;-62985.43;222.4
2;-62985.43;345.1
3;-62985.43;462.4
4;-58321.77;574.2
5;-35730.18;689.0
6;-33120.56;801.9
7;-29240.38;920.6
8;-29240.38;1049.8
9;-29240.38;1163.7
10;-22176.95;1284.8
11;-22176.95;1402.2
12;-22176.95;1528.7
13;-22176.95;1652.0
14;-13675.5;3060.8
15;-13675.5;3178.0
16;-11536.46;3297.9
17;-11536.46;3463.9
18;-11536.46;3666.6
19;-10639.63;3853.7
20;-10639.63;4043.2
Iteration;Objective;Time (s) 
1;-40606.13;310.6
2;-37883.67;461.6
3;-37883.67;647.0
4;-37883.67;825.1
5;-24094.91;999.2
6;-24094.91;1221.7
7;-24094.91;1581.6
8;-24094.91;1878.7
9;-22917.49;2172.6
10;-21978.74;2461.5
11;-17586.62;2784.9
12;-17586.62;3102.8
13;-17586.62;3358.5
14;-17009.56;3624.8
15;-16803.46;3912.0
16;-16169.05;4209.6
17;-12758.79;4488.8
Iteration;Objective;Time (s) 
1;-51869.0;198.4
2;-51869.0;285.9
3;-51869.0;378.2
4;-32662.16;491.1
5;-32662.16;586.8
Iteration;Objective;Time (s) 
1;-76224.99;152.5
2;-74923.61;230.2
3;-70619.34;306.8
4;-50283.1;383.6
5;-34484.61;464.3
Iteration;Objective;Time (s) 
1;-74498.54;172.7
2;-50921.78;257.8
3;-49625.48;347.1
4;-46337.01;434.6
5;-22961.35;520.1
Iteration;Objective;Time (s) 
1;-60473.04;244.3
2;-48476.68;372.2
3;-48476.68;518.6
4;-48476.68;661.2
5;-45012.18;783.2
6;-25052.31;913.8
7;-25052.31;1043.8
Iteration;Objective;Time (s) 
1;-937403.68;238.6
Iteration;Objective;Time (s) 
1;-1.2619629e6;243.1
Iteration;Objective;Time (s) 
1;-2.75382807e6;185.5
Iteration;Objective;Time (s) 
1;-2.50593822e6;235.2
2;-2.50593822e6;347.5
3;-2.50593822e6;472.4
4;-2.46348842e6;629.0
5;-1.56838593e6;788.2
6;-1.56838593e6;896.0
7;-1.52239657e6;1001.3
8;-1.52239657e6;1120.5
9;-807128.14;1225.9
10;-807128.14;1344.5
Iteration;Objective;Time (s) 
1;-1.55546019e6;197.6
2;-1.55546019e6;300.4
3;-1.55546019e6;401.5
4;-1.55546019e6;506.9
5;-1.55546019e6;624.1
6;-1.17868341e6;741.2
Iteration;Objective;Time (s) 
1;-30220.23;193.7
2;-30220.23;283.3
3;-26353.3;370.0
4;-26353.3;460.4
5;-26353.3;550.6
6;-19588.51;637.6
7;-19588.51;723.0
8;-12800.25;808.6
9;-10033.67;895.4
10;-10033.67;986.9
11;-9639.67;1073.9
12;-9358.79;1159.7
13;-9196.76;1244.8
14;-9196.76;1328.8
15;-7021.2;1412.1
Iteration;Objective;Time (s) 
1;-3.31092528e6;166.2
Iteration;Objective;Time (s) 
1;-3.40730076e6;169.5
2;-1.70520665e6;249.8
3;-1.70520665e6;328.6
4;-1.70520665e6;408.0
